iter	Passed	Remaining
0	160	160505
1	162	81161
2	164	54510
3	164	40994
4	165	32864
5	165	27451
6	166	23566
7	166	20684
8	167	18414
9	167	16603
10	168	15120
11	168	13892
12	169	12852
13	169	11963
14	170	11194
15	170	10515
16	176	10194
17	177	9657
18	177	9171
19	178	8733
20	178	8339
21	179	7986
22	180	7676
23	181	7374
24	181	7094
25	182	6841
26	183	6603
27	183	6380
28	184	6173
29	185	5981
30	185	5798
31	186	5628
32	186	5466
33	187	5314
34	187	5172
35	188	5037
36	188	4909
37	189	4788
38	190	4683
39	190	4574
40	191	4485
41	192	4395
42	193	4299
43	193	4209
44	194	4122
45	194	4040
46	195	3960
47	195	3883
48	196	3811
49	196	3741
50	197	3673
51	197	3608
52	198	3545
53	198	3484
54	199	3427
55	199	3371
56	200	3318
57	201	3266
58	201	3216
59	202	3168
60	202	3120
61	203	3077
62	203	3033
63	204	2991
64	205	2950
65	205	2910
66	206	2870
67	206	2833
68	207	2796
69	207	2761
70	208	2726
71	208	2692
72	209	2660
73	210	2628
74	210	2597
75	211	2567
76	211	2540
77	212	2514
78	213	2488
79	214	2463
80	214	2437
81	215	2413
82	215	2386
83	216	2361
84	217	2336
85	217	2312
86	218	2292
87	218	2269
88	219	2247
89	220	2225
90	220	2202
91	220	2181
92	221	2160
93	222	2139
94	222	2120
95	223	2103
96	223	2083
97	224	2065
98	224	2046
99	225	2027
100	225	2009
101	226	1991
102	226	1973
103	227	1956
104	227	1939
105	228	1923
106	228	1907
107	228	1891
108	229	1875
109	229	1860
110	230	1845
111	230	1830
112	231	1815
113	231	1801
114	232	1787
115	232	1774
116	233	1760
117	233	1746
118	234	1733
119	234	1720
120	235	1707
121	235	1694
122	235	1681
123	236	1669
124	236	1656
125	237	1644
126	237	1632
127	237	1621
128	238	1609
129	238	1598
130	239	1587
131	239	1576
132	240	1565
133	240	1554
134	241	1544
135	241	1534
136	241	1524
137	242	1514
138	242	1504
139	243	1494
140	243	1484
141	244	1474
142	244	1465
143	244	1455
144	245	1446
145	245	1437
146	246	1430
147	247	1422
148	247	1414
149	248	1407
150	249	1400
151	249	1391
152	250	1384
153	250	1376
154	251	1369
155	251	1362
156	252	1354
157	252	1347
158	253	1340
159	253	1333
160	254	1325
161	254	1317
162	255	1310
163	255	1303
164	256	1296
165	256	1290
166	257	1283
167	257	1276
168	258	1269
169	258	1262
170	259	1256
171	259	1250
172	260	1244
173	260	1238
174	261	1232
175	261	1225
176	262	1219
177	262	1213
178	263	1207
179	263	1201
180	264	1195
181	264	1188
182	264	1182
183	265	1176
184	265	1171
185	266	1165
186	266	1159
187	267	1153
188	267	1147
189	267	1142
190	268	1136
191	268	1131
192	269	1125
193	269	1120
